"music","make music","listen to music","music","songs"
"hiking","hike","hiking","going for hikes","going hiking"
"workouts","work out","workouts","doing workouts"
"meditation","meditate","meditation","meditating"
"film","movie","film","movies","films","movies","cinema"
"travel","trip","travel","traveling","trips","going on trips"
"reading","read","reading books","reading"
"poetry","poetry","poems"
"cooking","cooking","cook"
"writing","to write"
"hacking","hack","hacking"
"Marilyn Monroe","Marilyn Monroe"
"Abraham Lincoln","Abraham Lincoln"
"Mother Teresa","Mother Teresa"
"John F. Kennedy","John F. Kennedy"
"Martin Luther King","Martin Luther King"
"Nelson Mandela","Nelson Mandela"
"Winston Churchill","Winston Churchill"
"Bill Gates","Bill Gates"
"Muhammad Ali","Muhammad Ali"
"Mahatma Gandhi","Mahatma Gandhi"
"Margaret Thatcher","Margaret Thatcher"
"Charles de Gaulle","Charles de Gaulle"
"Christopher Columbus","Christopher Columbus"
"George Orwell","George Orwell"
"Charles Darwin","Charles Darwin"
"Elvis Presley","Elvis Presley"
"Albert Einstein","Albert Einstein"
"Paul McCartney","Paul McCartney"
"Plato","Plato"
"Queen Elizabeth II","Queen Elizabeth II"
"Queen Victoria","Queen Victoria"
"John M Keynes","John M Keynes"
"Mikhail Gorbachev","Mikhail Gorbachev"
"Jawaharlal Nehru","Jawaharlal Nehru"
"Leonardo da Vinci","Leonardo da Vinci"
"Louis Pasteur","Louis Pasteur"
"Leo Tolstoy","Leo Tolstoy"
"Pablo Picasso","Pablo Picasso"
"Vincent Van Gogh","Vincent Van Gogh"
"Franklin D. Roosevelt","Franklin D. Roosevelt"
"Pope John Paul II","Pope John Paul II"
"Thomas Edison","Thomas Edison"
"Rosa Parks","Rosa Parks"
"Aung San Suu Kyi","Aung San Suu Kyi"
"Lyndon Johnson","Lyndon Johnson"
"Ludwig Beethoven","Ludwig Beethoven"
"Oprah Winfrey","Oprah Winfrey"
"Indira Gandhi","Indira Gandhi"
"Eva Peron","Eva Peron"
"Benazir Bhutto","Benazir Bhutto"
"Desmond Tutu","Desmond Tutu"
"Dalai Lama","Dalai Lama"
"Walt Disney","Walt Disney"
"Neil Armstrong","Neil Armstrong"
"Peter Sellers","Peter Sellers"
"Barack Obama","Barack Obama"
"Malcolm X","Malcolm X"
"J.K.Rowling","J.K.Rowling"
"Richard Branson","Richard Branson"
"Pele","Pele"
"Angelina Jolie","Angelina Jolie"
"Jesse Owens","Jesse Owens"
"Ernest Hemingway","Ernest Hemingway"
"John Lennon","John Lennon"
"Henry Ford","Henry Ford"
"Haile Selassie","Haile Selassie"
"Joseph Stalin","Joseph Stalin"
"Lord Baden Powell","Lord Baden Powell"
"Michael Jordon","Michael Jordon"
"George Bush jnr","George Bush jnr"
"V.Lenin","V.Lenin"
"Ingrid Bergman","Ingrid Bergman"
"Fidel Castro","Fidel Castro"
"Oscar Wilde","Oscar Wilde"
"Coco Chanel","Coco Chanel"
"Pope Francis","Pope Francis"
"Amelia Earhart","Amelia Earhart"
"Adolf Hitler","Adolf Hitler"
"Sting","Sting"
"Mary Magdalene","Mary Magdalene"
"Alfred Hitchcock","Alfred Hitchcock"
"Michael Jackson","Michael Jackson"
"Madonna","Madonna"
"Mata Hari","Mata Hari"
"Cleopatra","Cleopatra"
"Grace Kelly","Grace Kelly"
"Steve Jobs","Steve Jobs"
"Ronald Reagan","Ronald Reagan"
"Lionel Messi","Lionel Messi"
"Babe Ruth","Babe Ruth"
"Bob Geldof","Bob Geldof"
"Leon Trotsky","Leon Trotsky"
"Roger Federer","Roger Federer"
"Sigmund Freud","Sigmund Freud"
"Woodrow Wilson","Woodrow Wilson"
"Mao Zedong","Mao Zedong"
"Katherine Hepburn","Katherine Hepburn"
"Audrey Hepburn","Audrey Hepburn"
"David Beckham","David Beckham"
"Tiger Woods","Tiger Woods"
"Usain Bolt","Usain Bolt"
"Carl Lewis","Carl Lewis"
"Prince Charles","Prince Charles"
"Jacqueline Kennedy Onassis","Jacqueline Kennedy Onassis"
"C.S. Lewis","C.S. Lewis"
"Billie Holiday","Billie Holiday"
"J.R.R. Tolkien","J.R.R. Tolkien"
"Tom Cruise","Tom Cruise"
"Billie Jean King","Billie Jean King"
"Anne Frank","Anne Frank"
"Simon Bolivar","Simon Bolivar"
"Marie Antoinette","Marie Antoinette"
"Christiano Ronaldo","Christiano Ronaldo"
"Emmeline Pankhurst ","Emmeline Pankhurst "
"Emile Zatopek","Emile Zatopek"
"Lech Walesa","Lech Walesa"
"Julie Andrews","Julie Andrews"
"Florence Nightingale","Florence Nightingale"
"Marie Curie","Marie Curie"
"Stephen Hawking","Stephen Hawking"
"Tim Berners Lee","Tim Berners Lee"
"Lance Armstrong","Lance Armstrong"
"Shakira","Shakira"
"Jon Stewart","Jon Stewart"
"Wright Brothers","Wright Brothers"
"Roman Abramovich","Roman Abramovich"
"Rupert Murdoch","Rupert Murdoch"
"Al Gore","Al Gore"
"Sacha Baron Cohen","Sacha Baron Cohen"
"George Clooney","George Clooney"
"Paul Krugman","Paul Krugman"
"Jimmy Wales","Jimmy Wales"
"Brad Pitt","Brad Pitt"
"Kylie Minogue","Kylie Minogue"
"Malala Yousafzai","Malala Yousafzai"
"Stephen King","Stephen King"